id,kind,title,abstract,org,year,status,url,source,is_synthetic
SYN-00016,paper,Novel geochemical survey and remote sensing approach for vanadium exploration,This paper describes a geochemical survey and remote sensing approach for vanadium exploration. Results indicate higher recovery and lower energy use than conventional routes.,KABIL,2024,Published,,SYNTHETIC-DEMO,True
SYN-00017,paper,Low-cost lithium alloy and cathode materials for battery and magnet applications,This paper describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2020,Published,,SYNTHETIC-DEMO,True
SYN-00018,project,Low-cost hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This project describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,KABIL,2021,Ongoing,,SYNTHETIC-DEMO,True
SYN-00019,paper,Scalable cobalt alloy and cathode materials for battery and magnet applications,This paper describes a cobalt alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2021,Published,,SYNTHETIC-DEMO,True
SYN-00020,project,Scalable froth flotation and magnetic separation process for beneficiation of graphite ore,This project describes a froth flotation and magnetic separation process for beneficiation of graphite ore. Results indicate higher recovery and lower energy use than conventional routes.,NMDC R&D Centre,2013,Ongoing,,SYNTHETIC-DEMO,True
SYN-00021,paper,Low-cost lithium alloy and cathode materials for battery and magnet applications,This paper describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2023,Published,,SYNTHETIC-DEMO,True
SYN-00022,patent,Low-cost geochemical survey and remote sensing approach for lithium exploration,This patent describes a geochemical survey and remote sensing approach for lithium exploration. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2025,Granted,,SYNTHETIC-DEMO,True
SYN-00023,paper,Low-cost hydrometallurgy route using acid leaching and solvent extraction for nickel refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for nickel refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2018,Published,,SYNTHETIC-DEMO,True
SYN-00024,patent,Scalable geochemical survey and remote sensing approach for lithium exploration,This patent describes a geochemical survey and remote sensing approach for lithium exploration. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2023,Granted,,SYNTHETIC-DEMO,True
SYN-00025,paper,Low-cost graphite alloy and cathode materials for battery and magnet applications,This paper describes a graphite alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2021,Published,,SYNTHETIC-DEMO,True
SYN-00026,patent,Improved froth flotation and magnetic separation process for beneficiation of lithium ore,This patent describes a froth flotation and magnetic separation process for beneficiation of lithium ore. Results indicate higher recovery and lower energy use than conventional routes.,IIT Bombay,2021,Published,,SYNTHETIC-DEMO,True
SYN-00027,patent,Energy-efficient geochemical survey and remote sensing approach for rare earth exploration,This patent describes a geochemical survey and remote sensing approach for rare earth exploration. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2025,Under examination,,SYNTHETIC-DEMO,True
SYN-00028,patent,Scalable recycling process for lithium recovery from spent batteries and e-waste,This patent describes a recycling process for lithium recovery from spent batteries and e-waste. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2025,Abandoned,,SYNTHETIC-DEMO,True
SYN-00029,patent,Scalable hydrometallurgy route using acid leaching and solvent extraction for cobalt refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for cobalt refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2022,Granted,,SYNTHETIC-DEMO,True
SYN-00030,project,Novel lithium alloy and cathode materials for battery and magnet applications,This project describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2016,Completed,,SYNTHETIC-DEMO,True
SYN-00031,paper,Improved lithium alloy and cathode materials for battery and magnet applications,This paper describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2024,Published,,SYNTHETIC-DEMO,True
SYN-00032,patent,Selective open-pit mining planning method for graphite ore bodies,This patent describes a open-pit mining planning method for graphite ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2022,Published,,SYNTHETIC-DEMO,True
SYN-00033,patent,Novel froth flotation and magnetic separation process for beneficiation of cobalt ore,This patent describes a froth flotation and magnetic separation process for beneficiation of cobalt ore. Results indicate higher recovery and lower energy use than conventional routes.,BARC,2022,Published,,SYNTHETIC-DEMO,True
SYN-00034,patent,Improved froth flotation and magnetic separation process for beneficiation of graphite ore,This patent describes a froth flotation and magnetic separation process for beneficiation of graphite ore. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2021,Published,,SYNTHETIC-DEMO,True
SYN-00035,paper,Low-cost geochemical survey and remote sensing approach for nickel exploration,This paper describes a geochemical survey and remote sensing approach for nickel exploration. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2021,Published,,SYNTHETIC-DEMO,True
SYN-00036,patent,Selective open-pit mining planning method for lithium ore bodies,This patent describes a open-pit mining planning method for lithium ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2025,Published,,SYNTHETIC-DEMO,True
SYN-00037,patent,Energy-efficient open-pit mining planning method for rare earth ore bodies,This patent describes a open-pit mining planning method for rare earth ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,NMDC R&D Centre,2024,Published,,SYNTHETIC-DEMO,True
SYN-00038,paper,Improved rare earth alloy and cathode materials for battery and magnet applications,This paper describes a rare earth alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,KABIL,2019,Published,,SYNTHETIC-DEMO,True
SYN-00039,paper,Novel hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,BARC,2023,Published,,SYNTHETIC-DEMO,True
SYN-00040,project,Low-cost hydrometallurgy route using acid leaching and solvent extraction for rare earth refining,This project describes a hydrometallurgy route using acid leaching and solvent extraction for rare earth refining. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2025,Completed,,SYNTHETIC-DEMO,True
SYN-00041,paper,Improved open-pit mining planning method for rare earth ore bodies,This paper describes a open-pit mining planning method for rare earth ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2023,Published,,SYNTHETIC-DEMO,True
SYN-00042,paper,Energy-efficient lithium alloy and cathode materials for battery and magnet applications,This paper describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2019,Published,,SYNTHETIC-DEMO,True
SYN-00043,patent,Improved graphite alloy and cathode materials for battery and magnet applications,This patent describes a graphite alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2015,Granted,,SYNTHETIC-DEMO,True
SYN-00044,patent,Improved graphite alloy and cathode materials for battery and magnet applications,This patent describes a graphite alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2014,Abandoned,,SYNTHETIC-DEMO,True
SYN-00045,paper,Novel froth flotation and magnetic separation process for beneficiation of nickel ore,This paper describes a froth flotation and magnetic separation process for beneficiation of nickel ore. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2016,Published,,SYNTHETIC-DEMO,True
SYN-00046,patent,Selective geochemical survey and remote sensing approach for nickel exploration,This patent describes a geochemical survey and remote sensing approach for nickel exploration. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2018,Under examination,,SYNTHETIC-DEMO,True
SYN-00047,project,Scalable vanadium alloy and cathode materials for battery and magnet applications,This project describes a vanadium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2017,Ongoing,,SYNTHETIC-DEMO,True
SYN-00048,patent,Improved open-pit mining planning method for nickel ore bodies,This patent describes a open-pit mining planning method for nickel ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,NMDC R&D Centre,2024,Published,,SYNTHETIC-DEMO,True
SYN-00049,patent,Novel recycling process for lithium recovery from spent batteries and e-waste,This patent describes a recycling process for lithium recovery from spent batteries and e-waste. Results indicate higher recovery and lower energy use than conventional routes.,IREL,2024,Under examination,,SYNTHETIC-DEMO,True
SYN-00050,patent,Energy-efficient open-pit mining planning method for graphite ore bodies,This patent describes a open-pit mining planning method for graphite ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT Bombay,2014,Abandoned,,SYNTHETIC-DEMO,True
SYN-00051,paper,Selective open-pit mining planning method for vanadium ore bodies,This paper describes a open-pit mining planning method for vanadium ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IREL,2020,Published,,SYNTHETIC-DEMO,True
SYN-00052,patent,Low-cost froth flotation and magnetic separation process for beneficiation of lithium ore,This patent describes a froth flotation and magnetic separation process for beneficiation of lithium ore. Results indicate higher recovery and lower energy use than conventional routes.,BARC,2024,Granted,,SYNTHETIC-DEMO,True
SYN-00053,paper,Improved rare earth alloy and cathode materials for battery and magnet applications,This paper describes a rare earth alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2023,Published,,SYNTHETIC-DEMO,True
SYN-00054,patent,Selective graphite alloy and cathode materials for battery and magnet applications,This patent describes a graphite alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2025,Published,,SYNTHETIC-DEMO,True
SYN-00055,paper,Selective hydrometallurgy route using acid leaching and solvent extraction for vanadium refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for vanadium refining. Results indicate higher recovery and lower energy use than conventional routes.,KABIL,2017,Published,,SYNTHETIC-DEMO,True
SYN-00056,paper,Scalable hydrometallurgy route using acid leaching and solvent extraction for cobalt refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for cobalt refining. Results indicate higher recovery and lower energy use than conventional routes.,IIT Bombay,2024,Published,,SYNTHETIC-DEMO,True
SYN-00057,patent,Selective hydrometallurgy route using acid leaching and solvent extraction for nickel refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for nickel refining. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2023,Published,,SYNTHETIC-DEMO,True
SYN-00058,paper,Energy-efficient hydrometallurgy route using acid leaching and solvent extraction for rare earth refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for rare earth refining. Results indicate higher recovery and lower energy use than conventional routes.,KABIL,2014,Published,,SYNTHETIC-DEMO,True
SYN-00059,paper,Low-cost hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,IIT Bombay,2021,Published,,SYNTHETIC-DEMO,True
SYN-00060,patent,Low-cost open-pit mining planning method for graphite ore bodies,This patent describes a open-pit mining planning method for graphite ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,NMDC R&D Centre,2023,Under examination,,SYNTHETIC-DEMO,True
SYN-00061,paper,Improved hydrometallurgy route using acid leaching and solvent extraction for nickel refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for nickel refining. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2022,Published,,SYNTHETIC-DEMO,True
SYN-00062,patent,Scalable froth flotation and magnetic separation process for beneficiation of rare earth ore,This patent describes a froth flotation and magnetic separation process for beneficiation of rare earth ore. Results indicate higher recovery and lower energy use than conventional routes.,IREL,2023,Under examination,,SYNTHETIC-DEMO,True
SYN-00063,paper,Selective cobalt alloy and cathode materials for battery and magnet applications,This paper describes a cobalt alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2020,Published,,SYNTHETIC-DEMO,True
SYN-00064,paper,Energy-efficient hydrometallurgy route using acid leaching and solvent extraction for nickel refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for nickel refining. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2022,Published,,SYNTHETIC-DEMO,True
SYN-00065,patent,Novel hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2025,Published,,SYNTHETIC-DEMO,True
SYN-00066,patent,Energy-efficient vanadium alloy and cathode materials for battery and magnet applications,This patent describes a vanadium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2017,Granted,,SYNTHETIC-DEMO,True
SYN-00067,patent,Low-cost lithium alloy and cathode materials for battery and magnet applications,This patent describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2020,Published,,SYNTHETIC-DEMO,True
SYN-00068,patent,Selective hydrometallurgy route using acid leaching and solvent extraction for nickel refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for nickel refining. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2019,Under examination,,SYNTHETIC-DEMO,True
SYN-00069,patent,Low-cost hydrometallurgy route using acid leaching and solvent extraction for rare earth refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for rare earth refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2023,Granted,,SYNTHETIC-DEMO,True
SYN-00070,patent,Improved lithium alloy and cathode materials for battery and magnet applications,This patent describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2022,Published,,SYNTHETIC-DEMO,True
SYN-00071,project,Energy-efficient open-pit mining planning method for rare earth ore bodies,This project describes a open-pit mining planning method for rare earth ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2017,Ongoing,,SYNTHETIC-DEMO,True
SYN-00072,patent,Improved hydrometallurgy route using acid leaching and solvent extraction for rare earth refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for rare earth refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2015,Published,,SYNTHETIC-DEMO,True
SYN-00073,paper,Low-cost hydrometallurgy route using acid leaching and solvent extraction for vanadium refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for vanadium refining. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2023,Published,,SYNTHETIC-DEMO,True
SYN-00074,patent,Low-cost open-pit mining planning method for nickel ore bodies,This patent describes a open-pit mining planning method for nickel ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT Bombay,2022,Published,,SYNTHETIC-DEMO,True
SYN-00075,patent,Novel lithium alloy and cathode materials for battery and magnet applications,This patent describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2016,Published,,SYNTHETIC-DEMO,True
SYN-00076,paper,Improved hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2016,Published,,SYNTHETIC-DEMO,True
SYN-00077,project,Improved open-pit mining planning method for graphite ore bodies,This project describes a open-pit mining planning method for graphite ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IREL,2025,Ongoing,,SYNTHETIC-DEMO,True
SYN-00078,project,Scalable open-pit mining planning method for rare earth ore bodies,This project describes a open-pit mining planning method for rare earth ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2024,Ongoing,,SYNTHETIC-DEMO,True
SYN-00079,project,Energy-efficient graphite alloy and cathode materials for battery and magnet applications,This project describes a graphite alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2022,Completed,,SYNTHETIC-DEMO,True
SYN-00080,paper,Scalable froth flotation and magnetic separation process for beneficiation of rare earth ore,This paper describes a froth flotation and magnetic separation process for beneficiation of rare earth ore. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2012,Published,,SYNTHETIC-DEMO,True
SYN-00081,patent,Low-cost graphite alloy and cathode materials for battery and magnet applications,This patent describes a graphite alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2014,Published,,SYNTHETIC-DEMO,True
SYN-00082,project,Low-cost hydrometallurgy route using acid leaching and solvent extraction for vanadium refining,This project describes a hydrometallurgy route using acid leaching and solvent extraction for vanadium refining. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2022,Ongoing,,SYNTHETIC-DEMO,True
SYN-00083,patent,Low-cost open-pit mining planning method for rare earth ore bodies,This patent describes a open-pit mining planning method for rare earth ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2024,Under examination,,SYNTHETIC-DEMO,True
SYN-00084,patent,Low-cost lithium alloy and cathode materials for battery and magnet applications,This patent describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2024,Published,,SYNTHETIC-DEMO,True
SYN-00085,patent,Novel nickel alloy and cathode materials for battery and magnet applications,This patent describes a nickel alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2017,Granted,,SYNTHETIC-DEMO,True
SYN-00086,patent,Low-cost nickel alloy and cathode materials for battery and magnet applications,This patent describes a nickel alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2023,Under examination,,SYNTHETIC-DEMO,True
SYN-00087,patent,Low-cost hydrometallurgy route using acid leaching and solvent extraction for rare earth refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for rare earth refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2012,Abandoned,,SYNTHETIC-DEMO,True
SYN-00088,paper,Low-cost hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2020,Published,,SYNTHETIC-DEMO,True
SYN-00089,patent,Energy-efficient hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,KABIL,2013,Published,,SYNTHETIC-DEMO,True
SYN-00090,paper,Selective recycling process for lithium recovery from spent batteries and e-waste,This paper describes a recycling process for lithium recovery from spent batteries and e-waste. Results indicate higher recovery and lower energy use than conventional routes.,BARC,2021,Published,,SYNTHETIC-DEMO,True
SYN-00091,paper,Energy-efficient geochemical survey and remote sensing approach for graphite exploration,This paper describes a geochemical survey and remote sensing approach for graphite exploration. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2024,Published,,SYNTHETIC-DEMO,True
SYN-00092,patent,Scalable geochemical survey and remote sensing approach for rare earth exploration,This patent describes a geochemical survey and remote sensing approach for rare earth exploration. Results indicate higher recovery and lower energy use than conventional routes.,NMDC R&D Centre,2024,Published,,SYNTHETIC-DEMO,True
SYN-00093,patent,Low-cost geochemical survey and remote sensing approach for cobalt exploration,This patent describes a geochemical survey and remote sensing approach for cobalt exploration. Results indicate higher recovery and lower energy use than conventional routes.,IIT (ISM) Dhanbad,2015,Published,,SYNTHETIC-DEMO,True
SYN-00094,paper,Novel froth flotation and magnetic separation process for beneficiation of rare earth ore,This paper describes a froth flotation and magnetic separation process for beneficiation of rare earth ore. Results indicate higher recovery and lower energy use than conventional routes.,BARC,2023,Published,,SYNTHETIC-DEMO,True
SYN-00095,patent,Scalable recycling process for lithium recovery from spent batteries and e-waste,This patent describes a recycling process for lithium recovery from spent batteries and e-waste. Results indicate higher recovery and lower energy use than conventional routes.,IREL,2023,Under examination,,SYNTHETIC-DEMO,True
SYN-00096,patent,Improved froth flotation and magnetic separation process for beneficiation of rare earth ore,This patent describes a froth flotation and magnetic separation process for beneficiation of rare earth ore. Results indicate higher recovery and lower energy use than conventional routes.,BARC,2019,Under examination,,SYNTHETIC-DEMO,True
SYN-00097,project,Scalable lithium alloy and cathode materials for battery and magnet applications,This project describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2014,Ongoing,,SYNTHETIC-DEMO,True
SYN-00098,patent,Novel hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2020,Granted,,SYNTHETIC-DEMO,True
SYN-00099,paper,Scalable hydrometallurgy route using acid leaching and solvent extraction for nickel refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for nickel refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2019,Published,,SYNTHETIC-DEMO,True
SYN-00100,patent,Novel lithium alloy and cathode materials for battery and magnet applications,This patent describes a lithium alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2023,Published,,SYNTHETIC-DEMO,True
SYN-00101,paper,Novel hydrometallurgy route using acid leaching and solvent extraction for nickel refining,This paper describes a hydrometallurgy route using acid leaching and solvent extraction for nickel refining. Results indicate higher recovery and lower energy use than conventional routes.,IIT Bombay,2015,Published,,SYNTHETIC-DEMO,True
SYN-00102,patent,Improved hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,IISc Bangalore,2021,Published,,SYNTHETIC-DEMO,True
SYN-00103,patent,Scalable froth flotation and magnetic separation process for beneficiation of rare earth ore,This patent describes a froth flotation and magnetic separation process for beneficiation of rare earth ore. Results indicate higher recovery and lower energy use than conventional routes.,IIT Kharagpur,2023,Published,,SYNTHETIC-DEMO,True
SYN-00104,patent,Novel froth flotation and magnetic separation process for beneficiation of rare earth ore,This patent describes a froth flotation and magnetic separation process for beneficiation of rare earth ore. Results indicate higher recovery and lower energy use than conventional routes.,IIT Bombay,2019,Under examination,,SYNTHETIC-DEMO,True
SYN-00105,patent,Improved froth flotation and magnetic separation process for beneficiation of rare earth ore,This patent describes a froth flotation and magnetic separation process for beneficiation of rare earth ore. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-IMMT,2025,Under examination,,SYNTHETIC-DEMO,True
SYN-00106,project,Novel hydrometallurgy route using acid leaching and solvent extraction for lithium refining,This project describes a hydrometallurgy route using acid leaching and solvent extraction for lithium refining. Results indicate higher recovery and lower energy use than conventional routes.,CSIR-NML,2012,Completed,,SYNTHETIC-DEMO,True
SYN-00107,paper,Scalable froth flotation and magnetic separation process for beneficiation of nickel ore,This paper describes a froth flotation and magnetic separation process for beneficiation of nickel ore. Results indicate higher recovery and lower energy use than conventional routes.,IREL,2023,Published,,SYNTHETIC-DEMO,True
SYN-00108,project,Improved cobalt alloy and cathode materials for battery and magnet applications,This project describes a cobalt alloy and cathode materials for battery and magnet applications. Results indicate higher recovery and lower energy use than conventional routes.,IIT Madras,2025,Ongoing,,SYNTHETIC-DEMO,True
SYN-00109,project,Improved hydrometallurgy route using acid leaching and solvent extraction for vanadium refining,This project describes a hydrometallurgy route using acid leaching and solvent extraction for vanadium refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2019,Completed,,SYNTHETIC-DEMO,True
SYN-00110,patent,Energy-efficient hydrometallurgy route using acid leaching and solvent extraction for cobalt refining,This patent describes a hydrometallurgy route using acid leaching and solvent extraction for cobalt refining. Results indicate higher recovery and lower energy use than conventional routes.,NFTDC,2013,Granted,,SYNTHETIC-DEMO,True
SYN-00111,patent,Selective open-pit mining planning method for graphite ore bodies,This patent describes a open-pit mining planning method for graphite ore bodies. Results indicate higher recovery and lower energy use than conventional routes.,IIT Bombay,2017,Published,,SYNTHETIC-DEMO,True
